Number,Artist,Streams,Feats,Tracks,Billion,Million
204,Labrinth,"5,408,385,063","396,587,742",149,0,14
205,John Legend,"5,384,405,995","2,403,169,234",249,1,8
206,Frank Sinatra,"5,382,091,415","77,042,747","2,171",0,13
207,Don Omar,"5,374,011,725","1,957,856,299",237,0,13
208,Morgan Wallen,"5,345,429,164","521,301,528",60,0,17
209,System Of A Down,"5,306,747,245","997,641",83,0,10
210,Megan Thee Stallion,"5,274,621,614","1,656,164,329",131,1,12
211,Rita Ora,"5,257,167,753","709,421,106",133,0,14
212,The 1975,"5,232,430,866","156,055,221",136,0,13
213,Rae Sremmurd,"5,226,974,030","544,047,899",62,0,13
214,Tame Impala,"5,214,042,684","174,098,397",101,1,11
215,Melanie Martinez,"5,194,199,440","5,232,238",58,0,17
216,TWICE,"5,181,586,735","39,496,270",220,0,13
217,Muse,"5,181,150,140","6,402,079",253,0,11
218,Gucci Mane,"5,179,422,858","4,905,865,217","2,117",0,5
219,Jack Johnson,"5,176,854,131","39,660,958",190,0,9
220,The Notorious B.I.G.,"5,171,977,853","699,574,957",185,0,12
221,Troye Sivan,"5,103,726,645","873,635,526",105,0,12
222,Bon Jovi,"5,101,338,141","1,335,247",329,1,9
223,Paramore,"5,095,348,178",0,114,0,11
224,Mumford & Sons,"5,088,124,853","18,747,880",121,0,12
225,ABBA,"5,004,152,913","146,654",160,0,14
226,6ix9ine,"4,988,907,666","1,117,326,282",57,0,16
227,Slipknot,"4,980,473,881",0,208,0,10
228,Bazzi,"4,941,186,159","62,540,256",39,0,12
229,Gusttavo Lima,"4,938,141,476","876,355,276",287,0,9
230,Oasis,"4,924,851,582","1,134",237,1,7
231,Morat,"4,919,640,815","436,178,161",74,0,15
232,Sean Paul,"4,910,936,441","3,853,999,824",400,0,10
233,Felix Jaehn,"4,901,374,743","194,535,961",172,1,12
234,The Lumineers,"4,894,719,810",0,86,0,8
235,Justin Quiles,"4,878,976,278","4,310,489,285",163,0,14
236,Dalex,"4,871,872,181","1,036,388,958",129,0,15
237,Duki,"4,869,537,547","937,757,024",147,0,13
238,Swae Lee,"4,836,929,180","5,692,666,319",59,1,10
239,Hailee Steinfeld,"4,815,845,560","606,712,238",31,1,10
240,Julia Michaels,"4,811,539,257","1,690,872,391",65,1,7
241,Rammstein,"4,781,710,534","3,762,124",245,0,10
242,Alicia Keys,"4,777,678,003","1,427,914,798",253,0,8
243,Alok,"4,738,018,362","231,488,539",212,0,12
244,Madonna,"4,718,747,892","138,810,390",762,0,7
245,Jess Glynne,"4,712,325,038","543,326,342",82,1,10
246,Zion & Lennox,"4,710,887,632","2,887,125,495",159,0,11
247,Disclosure,"4,690,114,197","24,281,620",186,0,7
248,Christina Aguilera,"4,686,000,540","1,808,585,763",281,0,9
249,Kings of Leon,"4,669,462,543",0,121,0,8
250,6LACK,"4,650,333,571","952,817,602",79,0,10
251,Cheat Codes,"4,629,305,378","313,902,252",151,0,7
252,Tove Lo,"4,629,278,952","1,360,259,448",144,0,7
253,Creedence Clearwater Revival,"4,623,595,600",0,145,0,11
254,Florence + The Machine,"4,614,759,836","378,905",160,0,9
255,Florida Georgia Line,"4,609,041,041","2,478,742,591",124,0,15
256,My Chemical Romance,"4,607,083,284",0,139,0,11
257,Alesso,"4,597,495,128","137,641,031",129,0,10
258,Arijit Singh,"4,573,567,798","939,497,796",572,0,4
259,Glass Animals,"4,554,159,224","4,423,329",109,1,6
260,The Script,"4,553,052,747","1,343,266",99,1,8
261,Zé Neto & Cristiano,"4,540,609,590","463,313,203",169,0,13
262,Whitney Houston,"4,519,561,495","14,222,939",282,0,9
263,Chance the Rapper,"4,517,223,691","3,118,921,754",105,0,12
264,Piso 21,"4,511,325,667","62,804,762",86,0,12
265,Five Finger Death Punch,"4,506,617,068",0,138,0,9
266,Bruce Springsteen,"4,480,464,759","47,313,864",821,0,10
267,Arcangel,"4,475,257,907","5,081,836,495",244,0,11
268,Nickelback,"4,469,299,972",0,150,0,12
269,Fifth Harmony,"4,468,944,634","184,240,949",75,1,7
270,Lenny Tavárez,"4,449,161,492","3,924,285,642",94,0,10
271,Jason Mraz,"4,439,148,339","98,804,484",238,1,6
