Number,Artist,Streams,Feats,Tracks,Billion,Million
915,(G)I-DLE,"1,549,107,296","4,846,360",68,0,5
916,Skepta,"1,545,159,107","1,544,272,815",146,0,2
917,Falling In Reverse,"1,544,740,243",0,65,0,2
918,Aleman,"1,543,845,576","407,519,473",151,0,2
919,Will Smith,"1,542,201,832","22,969,261",90,0,6
920,Kris Kross Amsterdam,"1,540,779,399","11,311,576",45,0,2
921,Salmo,"1,539,540,910","645,180,334",162,0,3
922,Toby Keith,"1,539,260,688","22,035,715",302,0,4
923,Timbaland,"1,538,740,572","2,172,817,649",156,0,5
924,Beach House,"1,537,837,100","2,101,262",107,0,2
925,Snakehips,"1,537,501,501","114,181,875",80,0,3
926,YOASOBI,"1,533,599,947",0,28,0,5
927,ITZY,"1,531,845,087",0,70,0,6
928,Pusha T,"1,530,816,646","1,669,008,782",123,0,2
929,Spice Girls,"1,530,766,752","705,376",106,0,4
930,Río Roma,"1,527,525,300","130,932,569",105,0,4
931,Bo Burnham,"1,527,212,746","273,881",103,0,2
932,Oh Wonder,"1,522,982,587","700,789,793",71,0,5
933,UB40,"1,520,229,534","2,093,977",436,0,3
934,Moby,"1,519,804,913","294,525,726",836,0,3
935,Andrea Bocelli,"1,518,057,850","63,860,756",592,0,3
936,Cash Cash,"1,516,224,156","122,082,586",163,0,4
937,Zendaya,"1,514,581,338","742,506,843",42,0,3
938,Topic,"1,514,111,730","995,946,509",70,0,1
939,John Denver,"1,512,762,331","8,472,293",594,0,3
940,BONES,"1,511,219,763","192,510,411",653,0,1
941,Natiruts,"1,510,821,450","21,690,077",216,0,1
942,TLC,"1,510,571,033","235,596,205",173,0,3
943,Gustavo Cerati,"1,509,810,094","204,209,748",163,0,3
944,LIT killah,"1,509,081,134","190,156,783",45,0,2
945,Alina Baraz,"1,506,524,901","29,078,869",76,0,3
946,Lauren Daigle,"1,506,508,915","145,987,139",67,0,3
947,Official HIGE DANdism,"1,506,088,256",0,144,0,4
948,Pixies,"1,505,325,659",0,856,0,3
949,Dread Mar I,"1,503,218,350","37,569,370",160,0,2
950,Mc Don Juan,"1,500,472,460","567,652,551",155,0,3
951,Thiaguinho,"1,498,417,630","225,812,024",249,0,0
952,Evaluna Montaner,"1,495,747,834","133,138,325",46,0,4
953,Capo Plaza,"1,494,955,350","798,426,969",78,0,1
954,MF DOOM,"1,494,366,089","102,412,043",424,0,2
955,Petit Biscuit,"1,494,185,761","22,498,758",86,0,1
956,Gloria Trevi,"1,493,626,591","179,247,041",278,0,2
957,Gym Class Heroes,"1,493,450,694",0,75,0,3
958,Maggie Lindemann,"1,492,524,310","3,518,587",40,0,2
959,Jeezy,"1,485,078,408","1,437,063,010",552,0,2
960,Talking Heads,"1,484,242,370",0,215,0,3
961,Bruno Martini,"1,482,924,670","27,749,916",105,0,4
962,Supertramp,"1,480,511,283","35,955",119,0,4
963,Hungria Hip Hop,"1,480,092,466","71,737,408",68,0,1
964,Wu-Tang Clan,"1,479,460,962","15,206,987",351,0,2
965,Vince Staples,"1,478,107,395","583,523,563",97,0,2
966,Brantley Gilbert,"1,477,281,228","127,058,982",117,0,2
967,Tori Kelly,"1,473,981,175","564,051,955",98,0,3
968,Counting Crows,"1,473,624,597","4,503,425",192,0,3
969,Marracash,"1,472,923,263","534,687,416",196,0,0
970,Foreigner,"1,468,972,124","354,623",284,0,4
971,Andrés Calamaro,"1,463,467,941","169,406,253",521,0,2
972,Tom Petty and the Heartbreakers,"1,463,007,847","3,703,828",248,0,3
973,Hombres G,"1,461,546,570","65,545,893",275,0,3
974,Lupe Fiasco,"1,458,913,538","284,182,379",182,0,3
975,$NOT,"1,456,594,009","110,324,095",58,0,3
976,Upchurch,"1,451,882,160","160,013,519",245,0,0
977,Canserbero,"1,451,762,300","20,576,666",88,0,3
978,ZHU,"1,450,364,098","53,933,968",120,0,2
979,Cristian Castro,"1,449,606,688","171,308,397",236,0,3
980,Megadeth,"1,449,001,793","785,779",419,0,2
981,D-Block Europe,"1,448,961,530","94,674,597",150,0,0
982,Bryce Vine,"1,444,948,521","4,590,271",81,0,4
983,Gustavo Mioto,"1,444,828,975","72,447,438",119,0,4
984,Showtek,"1,441,997,312","69,934,802",267,0,2
985,Pabllo Vittar,"1,440,938,225","307,806,312",125,0,2
986,Kelly Rowland,"1,439,718,750","614,405,577",126,0,3
987,The All-American Rejects,"1,439,069,693",0,86,0,4
988,Jack & Jack,"1,438,739,447","45,772,171",43,0,2
989,Ben&Ben,"1,437,489,824","17,825,818",57,0,4
990,The Head And The Heart,"1,436,917,213",0,95,0,4
991,ONE OK ROCK,"1,436,289,806","2,588,340",129,0,1
992,Melim,"1,435,884,104","89,883,469",85,0,3
993,Jacquees,"1,433,486,084","297,096,889",120,0,2
994,RÜFÜS DU SOL,"1,431,266,723","11,103,276",148,0,2
995,SCH,"1,430,189,357","650,133,345",114,0,0
996,Young the Giant,"1,429,779,508",0,78,0,3
997,Gemitaiz,"1,429,778,231","704,443,260",174,0,1
998,Central Cee,"1,428,646,963","8,720,636",49,0,5
999,Empire of the Sun,"1,428,482,992","230,676,529",108,0,3
1000,Alanis Morissette,"1,426,836,551","494,969",300,0,3
1001,Icona Pop,"1,426,680,056","222,797,489",121,0,3
1002,Dustin Lynch,"1,426,154,511","11,048,052",83,0,4
1003,The Temptations,"1,425,942,696","64,781,659",732,0,3
1004,Simone & Simaria,"1,425,339,491","238,959,423",122,0,4
1005,Gotye,"1,424,591,618","10,576,378",46,1,1
1006,NIKI,"1,422,920,850","231,405,433",55,0,4
1007,Duke Dumont,"1,422,096,182","24,622,115",121,0,2
1008,Laura Pausini,"1,421,622,604","293,291,443",434,0,0
1009,Beck,"1,420,597,420","83,871,063",300,0,1
